EntryID	OrganismName	Kingdom	SequenceLength	SPStart	SPEnd	Class	Set	HelixDomain
P53725	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	186			Negative	3	False
P23369	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	157			Negative	4	False
Q8IBN8	Plasmodium falciparum (isolate 3D7)	Other	899			Negative	5	False
Q07688	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	167			Negative	2	False
P27793	Capnoides sempervirens	Viridiplantae	447			Negative	5	False
Q965W2	Caenorhabditis elegans	Metazoa	407			Negative	5	False
P58753	Homo sapiens	Metazoa	221			Negative	4	False
O64517	Arabidopsis thaliana	Viridiplantae	418			Negative	4	False
Q00416	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2231			Negative	1	False
Q7L0X2	Homo sapiens	Metazoa	663			Negative	4	False
O14277	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	203			Negative	4	False
Q9JJ09	Rattus norvegicus	Metazoa	695			Negative	4	False
P19538	Drosophila melanogaster	Metazoa	1397			Negative	1	False
Q03468	Homo sapiens	Metazoa	1493			Negative	2	False
P02652	Homo sapiens	Metazoa	100	1.0	18.0	Positive	3	
O82645	Arabidopsis thaliana	Viridiplantae	488			Negative	3	False
P25054	Homo sapiens	Metazoa	2843			Negative	3	False
Q9SUA1	Arabidopsis thaliana	Viridiplantae	763			Negative	2	False
Q9XVS8	Caenorhabditis elegans	Metazoa	405			Negative	4	False
Q02083	Homo sapiens	Metazoa	359	1.0	28.0	Positive	5	
Q15428	Homo sapiens	Metazoa	464			Negative	1	False
Q9VPH0	Drosophila melanogaster	Metazoa	869			Negative	3	False
P40458	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	529			Negative	2	False
Q9Y5B8	Homo sapiens	Metazoa	376			Negative	2	False
Q03124	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	581			Negative	5	False
O96693	Plasmodium falciparum (isolate HB3)	Other	488			Negative	4	False
C9K4X8	Patiria pectinifera	Metazoa	116	1.0	29.0	Positive	3	
Q01064	Homo sapiens	Metazoa	536			Negative	1	False
A3BK75	Oryza sativa subsp. japonica	Viridiplantae	482			Negative	5	False
F4JVI3	Arabidopsis thaliana	Viridiplantae	493			Negative	1	False
Q9WUB6	Mus musculus	Metazoa	687			Negative	5	True
P25583	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	335			Negative	3	False
Q15916	Homo sapiens	Metazoa	424			Negative	2	False
Q9P7G6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	566			Negative	3	False
P57081	Homo sapiens	Metazoa	412			Negative	1	False
Q6P8X9	Mus musculus	Metazoa	189			Negative	4	False
Q9FJW3	Arabidopsis thaliana	Viridiplantae	82			Negative	2	True
P41005	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	101			Negative	5	False
Q94AC8	Arabidopsis thaliana	Viridiplantae	274			Negative	2	False
P19069	Cavia porcellus	Metazoa	1742	1.0	19.0	Positive	5	
P13788	Spinacia oleracea	Viridiplantae	201			Negative	2	False
Q0JFZ0	Oryza sativa subsp. japonica	Viridiplantae	247			Negative	3	False
Q9P1Z3	Homo sapiens	Metazoa	774			Negative	2	False
P07141	Mus musculus	Metazoa	552	1.0	32.0	Positive	4	
Q5SXA9	Mus musculus	Metazoa	1104			Negative	2	False
Q08365	Chlamydomonas reinhardtii	Viridiplantae	712			Negative	1	False
Q95339	Sus scrofa	Metazoa	88			Negative	5	True
D4A1X2	Rattus norvegicus	Metazoa	885			Negative	4	False
Q12045	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	647			Negative	2	False
Q13342	Homo sapiens	Metazoa	867			Negative	2	False
A0A1L6K371	Juglans nigra	Viridiplantae	510	1.0	23.0	Positive	4	
Q62696	Rattus norvegicus	Metazoa	911			Negative	2	False
P10355	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	254			Negative	2	False
Q9WVM1	Mus musculus	Metazoa	628			Negative	4	False
P43565	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1770			Negative	2	False
Q5ZEP9	Caenorhabditis elegans	Metazoa	281			Negative	4	False
F4IXE7	Arabidopsis thaliana	Viridiplantae	1189			Negative	4	False
Q04226	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	346			Negative	3	False
Q04006	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	179			Negative	1	False
Q3ZBF3	Bos taurus	Metazoa	380			Negative	2	False
Q04003	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	481			Negative	3	False
P38253	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	122			Negative	1	True
Q12904	Homo sapiens	Metazoa	312			Negative	2	False
Q15022	Homo sapiens	Metazoa	739			Negative	2	False
Q86WX3	Homo sapiens	Metazoa	136			Negative	3	False
Q9W1R5	Drosophila melanogaster	Metazoa	1854			Negative	2	False
P25582	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	841			Negative	4	False
Q21773	Caenorhabditis elegans	Metazoa	489			Negative	5	False
Q9FFF5	Arabidopsis thaliana	Viridiplantae	241			Negative	5	False
O22161	Arabidopsis thaliana	Viridiplantae	930			Negative	4	False
Q62924	Rattus norvegicus	Metazoa	1129			Negative	5	False
Q9FGS4	Arabidopsis thaliana	Viridiplantae	718			Negative	3	False
K9NVA6	Hematodinium sp	Other	132			Negative	2	False
P36516	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	390			Negative	3	False
Q9JJ28	Mus musculus	Metazoa	1271			Negative	1	False
Q7L4E1	Homo sapiens	Metazoa	593			Negative	4	True
Q5GH62	Mus musculus	Metazoa	373			Negative	5	True
Q7S711	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	443			Negative	5	False
Q9EPB5	Mus musculus	Metazoa	311			Negative	1	False
P38772	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	366			Negative	5	False
F4IMQ0	Arabidopsis thaliana	Viridiplantae	288			Negative	1	False
A8BFN4	Giardia intestinalis (strain ATCC 50803 / WB clone C6)	Other	1480			Negative	4	False
Q9Z125	Mus musculus	Metazoa	519			Negative	2	False
Q9S758	Arabidopsis thaliana	Viridiplantae	181			Negative	4	False
K4PW38	Oryza sativa subsp. japonica	Viridiplantae	458			Negative	4	False
Q6K881	Oryza sativa subsp. japonica	Viridiplantae	565			Negative	1	False
Q07800	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	427			Negative	2	False
Q12514	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	560			Negative	1	False
Q8IU68	Homo sapiens	Metazoa	726			Negative	5	False
Q8TBK2	Homo sapiens	Metazoa	473			Negative	3	False
Q94BV2	Arabidopsis thaliana	Viridiplantae	181			Negative	4	False
Q93Y52	Chlamydomonas reinhardtii	Viridiplantae	280			Negative	5	False
P38751	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	150			Negative	5	False
A8J785	Chlamydomonas reinhardtii	Viridiplantae	209			Negative	4	True
Q4WL81	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	234	1.0	20.0	Positive	3	
Q8CDY7	Mus musculus	Metazoa	219			Negative	4	False
Q9WUM4	Mus musculus	Metazoa	474			Negative	3	False
Q4G0N4	Homo sapiens	Metazoa	442			Negative	5	False
Q06389	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	190			Negative	4	False
Q5HYJ3	Homo sapiens	Metazoa	339			Negative	3	False
Q9M2N5	Arabidopsis thaliana	Viridiplantae	696			Negative	5	False
Q9BZE9	Homo sapiens	Metazoa	553			Negative	5	False
Q96NS1	Homo sapiens	Metazoa	127			Negative	4	False
P11860	Mytilus californianus	Metazoa	45			Negative	1	False
P24311	Homo sapiens	Metazoa	80			Negative	5	True
Q07913	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	336			Negative	2	False
Q96529	Arabidopsis thaliana	Viridiplantae	490			Negative	5	False
Q96KR7	Homo sapiens	Metazoa	559			Negative	5	False
O14350	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	181			Negative	4	False
B8JLQ9	Danio rerio	Metazoa	363	1.0	24.0	Positive	3	
Q9BPX3	Homo sapiens	Metazoa	1015			Negative	4	False
O95721	Homo sapiens	Metazoa	258			Negative	4	False
Q8LL04	Arabidopsis thaliana	Viridiplantae	1241			Negative	5	False
Q86YL7	Homo sapiens	Metazoa	162	1.0	22.0	Positive	5	
Q12343	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	284			Negative	1	False
Q9BSF4	Homo sapiens	Metazoa	260			Negative	5	True
D3Z9M3	Rattus norvegicus	Metazoa	109	1.0	16.0	Positive	4	
Q03111	Homo sapiens	Metazoa	559			Negative	1	False
Q8WVQ1	Homo sapiens	Metazoa	401			Negative	4	False
Q08297	Mus musculus	Metazoa	339			Negative	1	False
P85213	Galleria mellonella	Metazoa	72	1.0	29.0	Positive	5	
Q94C32	Arabidopsis thaliana	Viridiplantae	320			Negative	4	False
Q76LB1	Triticum aestivum	Viridiplantae	459			Negative	1	True
Q15388	Homo sapiens	Metazoa	145			Negative	3	True
Q90ZF9	Gallus gallus	Metazoa	235			Negative	3	False
G3MYZ3	Bos taurus	Metazoa	604	1.0	21.0	Positive	5	
P00480	Homo sapiens	Metazoa	354			Negative	1	False
Q9JLI6	Mus musculus	Metazoa	432			Negative	4	False
Q8TD31	Homo sapiens	Metazoa	782			Negative	2	False
P27697	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	501			Negative	2	False
Q0PNE2	Homo sapiens	Metazoa	266			Negative	1	False
P38660	Mesocricetus auratus	Metazoa	439	1.0	19.0	Positive	1	
Q969F2	Homo sapiens	Metazoa	451			Negative	3	False
