EntryID	OrganismName	Kingdom	SequenceLength	SPStart	SPEnd	Class
P80067	Rattus norvegicus	Metazoa	462	1	24	Positive
P01342	Myxine glutinosa	Metazoa	115	1	26	Positive
P01001	Bos taurus	Metazoa	80	1	23	Positive
P15691	Bos taurus	Metazoa	190	1	26	Positive
Q5BGU9	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	366	1	18	Positive
P43077	Candida albicans	Fungi	562	1	22	Positive
Q8RVH5	Glycine max	Viridiplantae	433	1	24	Positive
P10257	Oncorhynchus keta	Metazoa	137	1	24	Positive
P07154	Rattus norvegicus	Metazoa	334	1	17	Positive
Q39529	Cladrastis kentukea	Viridiplantae	290	1	35	Positive
C0HKG1	Clitoria ternatea	Viridiplantae	127	1	24	Positive
Q28862	Bos taurus	Metazoa	310	1	16	Positive
P00736	Homo sapiens	Metazoa	705	1	17	Positive
K9N4Q4	Phlebotomus papatasi	Metazoa	246	1	23	Positive
O80327	Pyrus pyrifolia	Viridiplantae	244	1	22	Positive
Q8N0W4	Homo sapiens	Metazoa	816	1	41	Positive
C6JUP2	Micrurus corallinus	Metazoa	88	1	21	Positive
Q64385	Mus musculus	Metazoa	432	1	23	Positive
P19136	Phanerodontia chrysosporium	Fungi	382	1	24	Positive
P29788	Mus musculus	Metazoa	478	1	19	Positive
P33575	Petromyzon marinus	Metazoa	139	1	19	Positive
Q8BHN3	Mus musculus	Metazoa	944	1	32	Positive
P01887	Mus musculus	Metazoa	119	1	20	Positive
Q86R84	Dermatophagoides farinae	Metazoa	462	1	25	Positive
P0C554	Bungarus fasciatus	Metazoa	86	1	21	Positive
P08514	Homo sapiens	Metazoa	1039	1	31	Positive
P01479	Androctonus australis	Metazoa	83	1	19	Positive
Q8NBK3	Homo sapiens	Metazoa	374	1	33	Positive
P02466	Rattus norvegicus	Metazoa	1372	1	22	Positive
Q6WN34	Homo sapiens	Metazoa	429	1	25	Positive
P83400	Hottentotta tamulus	Metazoa	60	1	24	Positive
P02671	Homo sapiens	Metazoa	866	1	19	Positive
Q98996	Daboia palaestinae	Metazoa	138	1	16	Positive
Q9NR61	Homo sapiens	Metazoa	685	1	26	Positive
Q8JGT6	Protobothrops mucrosquamatus	Metazoa	146	1	23	Positive
C0HKC3	Agkistrodon piscivorus leucostoma	Metazoa	139	1	16	Positive
C0HL82	Stellaria media	Viridiplantae	81	1	31	Positive
P04634	Rattus norvegicus	Metazoa	395	1	18	Positive
P42292	Gallus gallus	Metazoa	588	1	33	Positive
A0A5C2A2T2	Conus purpurascens	Metazoa	178	1	24	Positive
P25033	Hyalophora cecropia	Metazoa	413	1	19	Positive
P10976	Spinacia oleracea	Viridiplantae	117	1	26	Positive
P00683	Mus musculus	Metazoa	149	1	25	Positive
P55203	Bos taurus	Metazoa	1110	1	56	Positive
P49278	Dermatophagoides pteronyssinus	Metazoa	146	1	17	Positive
