EntryID	OrganismName	Kingdom	SequenceLength	SPStart	SPEnd	Class	Set
P80067	Rattus norvegicus	Metazoa	462	1	24	Positive	Fold_3
P01342	Myxine glutinosa	Metazoa	115	1	26	Positive	Fold_2
P01001	Bos taurus	Metazoa	80	1	23	Positive	Fold_5
P15691	Bos taurus	Metazoa	190	1	26	Positive	Fold_2
Q5BGU9	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	366	1	18	Positive	Fold_5
P43077	Candida albicans	Fungi	562	1	22	Positive	Fold_1
Q8RVH5	Glycine max	Viridiplantae	433	1	24	Positive	Fold_3
P10257	Oncorhynchus keta	Metazoa	137	1	24	Positive	Fold_1
P07154	Rattus norvegicus	Metazoa	334	1	17	Positive	Fold_3
Q39529	Cladrastis kentukea	Viridiplantae	290	1	35	Positive	Fold_4
C0HKG1	Clitoria ternatea	Viridiplantae	127	1	24	Positive	Fold_5
Q28862	Bos taurus	Metazoa	310	1	16	Positive	Fold_3
P00736	Homo sapiens	Metazoa	705	1	17	Positive	Fold_5
K9N4Q4	Phlebotomus papatasi	Metazoa	246	1	23	Positive	Fold_5
O80327	Pyrus pyrifolia	Viridiplantae	244	1	22	Positive	Fold_4
Q8N0W4	Homo sapiens	Metazoa	816	1	41	Positive	Fold_1
C6JUP2	Micrurus corallinus	Metazoa	88	1	21	Positive	Fold_5
Q64385	Mus musculus	Metazoa	432	1	23	Positive	Fold_1
P19136	Phanerodontia chrysosporium	Fungi	382	1	24	Positive	Fold_1
P29788	Mus musculus	Metazoa	478	1	19	Positive	Fold_2
P33575	Petromyzon marinus	Metazoa	139	1	19	Positive	Fold_4
Q8BHN3	Mus musculus	Metazoa	944	1	32	Positive	Fold_5
P01887	Mus musculus	Metazoa	119	1	20	Positive	Fold_1
Q86R84	Dermatophagoides farinae	Metazoa	462	1	25	Positive	Fold_4
P0C554	Bungarus fasciatus	Metazoa	86	1	21	Positive	Fold_2
P08514	Homo sapiens	Metazoa	1039	1	31	Positive	Fold_4
P01479	Androctonus australis	Metazoa	83	1	19	Positive	Fold_1
Q8NBK3	Homo sapiens	Metazoa	374	1	33	Positive	Fold_5
P02466	Rattus norvegicus	Metazoa	1372	1	22	Positive	Fold_4
Q6WN34	Homo sapiens	Metazoa	429	1	25	Positive	Fold_2
P83400	Hottentotta tamulus	Metazoa	60	1	24	Positive	Fold_1
P02671	Homo sapiens	Metazoa	866	1	19	Positive	Fold_3
Q98996	Daboia palaestinae	Metazoa	138	1	16	Positive	Fold_2
Q9NR61	Homo sapiens	Metazoa	685	1	26	Positive	Fold_3
Q8JGT6	Protobothrops mucrosquamatus	Metazoa	146	1	23	Positive	Fold_5
C0HKC3	Agkistrodon piscivorus leucostoma	Metazoa	139	1	16	Positive	Fold_5
C0HL82	Stellaria media	Viridiplantae	81	1	31	Positive	Fold_1
P04634	Rattus norvegicus	Metazoa	395	1	18	Positive	Fold_1
P42292	Gallus gallus	Metazoa	588	1	33	Positive	Fold_4
A0A5C2A2T2	Conus purpurascens	Metazoa	178	1	24	Positive	Fold_4
P25033	Hyalophora cecropia	Metazoa	413	1	19	Positive	Fold_2
P10976	Spinacia oleracea	Viridiplantae	117	1	26	Positive	Fold_1
P00683	Mus musculus	Metazoa	149	1	25	Positive	Fold_4
P55203	Bos taurus	Metazoa	1110	1	56	Positive	Fold_3
P49278	Dermatophagoides pteronyssinus	Metazoa	146	1	17	Positive	Fold_4
P41543	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	476	1	22	Positive	Fold_3
Q53B52	Ophiophagus hannah	Metazoa	78	1	21	Positive	Fold_5
P29320	Homo sapiens	Metazoa	983	1	20	Positive	Fold_5
Q9YGN5	Gloydius brevicauda	Metazoa	154	1	23	Positive	Fold_5
P01593	Homo sapiens	Metazoa	117	1	22	Positive	Fold_5
P02872	Arachis hypogaea	Viridiplantae	273	1	23	Positive	Fold_2
Q696W1	Macrovipera lebetinus	Metazoa	158	1	23	Positive	Fold_1
Q02471	Daboia siamensis	Metazoa	138	1	16	Positive	Fold_4
Q09140	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1448	1	18	Positive	Fold_3
Q8NCC3	Homo sapiens	Metazoa	412	1	33	Positive	Fold_2
P10354	Rattus norvegicus	Metazoa	466	1	18	Positive	Fold_5
Q64610	Rattus norvegicus	Metazoa	887	1	27	Positive	Fold_2
P09462	Ovis aries	Metazoa	142	1	19	Positive	Fold_2
Q15848	Homo sapiens	Metazoa	244	1	18	Positive	Fold_4
P09341	Homo sapiens	Metazoa	107	1	34	Positive	Fold_4
P00724	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	532	1	19	Positive	Fold_1
P52193	Bos taurus	Metazoa	417	1	17	Positive	Fold_2
Q9Y279	Homo sapiens	Metazoa	399	1	19	Positive	Fold_5
O54766	Rattus norvegicus	Metazoa	617	1	20	Positive	Fold_5
O75556	Homo sapiens	Metazoa	95	1	18	Positive	Fold_1
P0C292	Androctonus crassicauda	Metazoa	80	1	22	Positive	Fold_3
P06859	Protobothrops flavoviridis	Metazoa	138	1	16	Positive	Fold_1
Q90WA1	Pseudonaja textilis textilis	Metazoa	83	1	24	Positive	Fold_2
P56526	Aspergillus niger	Fungi	985	1	25	Positive	Fold_1
P0DML3	Homo sapiens	Metazoa	217	1	26	Positive	Fold_3
P12706	Xenopus laevis	Metazoa	106	1	23	Positive	Fold_5
P14946	Lolium perenne	Viridiplantae	263	1	23	Positive	Fold_3
P56742	Crotalus atrox	Metazoa	516	1	18	Positive	Fold_2
Q63372	Rattus norvegicus	Metazoa	1530	1	30	Positive	Fold_5
P01480	Androctonus australis	Metazoa	84	1	19	Positive	Fold_2
P61916	Homo sapiens	Metazoa	151	1	19	Positive	Fold_5
P00714	Rattus norvegicus	Metazoa	159	1	19	Positive	Fold_1
B2NHN2	Talaromyces funiculosus	Fungi	339	1	20	Positive	Fold_2
Q653V7	Oryza sativa subsp. japonica	Viridiplantae	885	1	33	Positive	Fold_2
Q7SCE9	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	385	1	18	Positive	Fold_2
A7VN15	Protobothrops flavoviridis	Metazoa	79	1	19	Positive	Fold_3
P01218	Ovis aries	Metazoa	120	1	24	Positive	Fold_2
P01302	Bos taurus	Metazoa	131	1	29	Positive	Fold_1
Q96TU3	Aspergillus awamori	Fungi	537	1	19	Positive	Fold_4
P20334	Mus musculus	Metazoa	256	1	23	Positive	Fold_3
P09955	Sus scrofa	Metazoa	416	1	15	Positive	Fold_5
P01443	Naja atra	Metazoa	81	1	21	Positive	Fold_5
P10820	Mus musculus	Metazoa	554	1	20	Positive	Fold_3
Q07CZ7	Lutzomyia longipalpis	Metazoa	397	1	18	Positive	Fold_4
P04916	Rattus norvegicus	Metazoa	201	1	18	Positive	Fold_1
Q9BZW8	Homo sapiens	Metazoa	370	1	21	Positive	Fold_4
Q8MMH3	Pimpla hypochondriaca	Metazoa	488	1	19	Positive	Fold_3
I2G9B4	Macrovipera lebetina transmediterranea	Metazoa	95	1	24	Positive	Fold_4
M5AXY1	Felis catus	Metazoa	201	1	18	Positive	Fold_2
P82818	Bombyx mori	Metazoa	66	1	24	Positive	Fold_4
P35052	Homo sapiens	Metazoa	558	1	23	Positive	Fold_4
Q6IUU3	Rattus norvegicus	Metazoa	750	1	32	Positive	Fold_1
Q9LYF6	Arabidopsis thaliana	Viridiplantae	61	1	22	Positive	Fold_5
Q9U8D1	Olivierus martensii	Metazoa	56	1	28	Positive	Fold_5
Q9BX59	Homo sapiens	Metazoa	468	1	18	Positive	Fold_2
A2CKF7	Bungarus fasciatus	Metazoa	86	1	21	Positive	Fold_1
Q90611	Gallus gallus	Metazoa	663	1	26	Positive	Fold_3
P84296	Chironomus thummi thummi	Metazoa	161	1	16	Positive	Fold_3
P0C293	Androctonus crassicauda	Metazoa	80	1	22	Positive	Fold_3
P21611	Gallus gallus	Metazoa	119	1	21	Positive	Fold_1
Q9NL89	Bombyx mori	Metazoa	495	1	16	Positive	Fold_2
P01346	Rattus norvegicus	Metazoa	180	1	24	Positive	Fold_2
Q12127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133	1	18	Positive	Fold_5
P11226	Homo sapiens	Metazoa	248	1	20	Positive	Fold_3
P51688	Homo sapiens	Metazoa	502	1	20	Positive	Fold_3
P22323	Cavia porcellus	Metazoa	410	1	24	Positive	Fold_3
P13504	Mus musculus	Metazoa	576	1	19	Positive	Fold_3
P11941	Oncorhynchus mykiss	Metazoa	144	1	15	Positive	Fold_3
Q9YGP1	Trimeresurus stejnegeri	Metazoa	158	1	23	Positive	Fold_4
P19134	Oryctolagus cuniculus	Metazoa	695	1	19	Positive	Fold_3
Q95VE9	Epiphyas postvittana	Metazoa	164	1	23	Positive	Fold_4
P01303	Homo sapiens	Metazoa	97	1	28	Positive	Fold_2
P80513	Bos taurus	Metazoa	179	1	21	Positive	Fold_1
P01404	Dendroaspis angusticeps	Metazoa	81	1	21	Positive	Fold_1
O95813	Homo sapiens	Metazoa	267	1	17	Positive	Fold_3
Q8L5J1	Solanum lycopersicum	Viridiplantae	399	1	26	Positive	Fold_2
