Accession	Organism	Kingdom	Sequence length	N-term transmembrane
Q07163	Saccharomyces cerevisiae	Fungi	1755	False
Q924K8	Mus musculus	Metazoa	591	False
P21145	Homo sapiens	Metazoa	153	True
Q9UUM2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	971	False
Q04781	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1562	False
F4JHA2	Arabidopsis thaliana	Viridiplantae	884	False
P53255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	507	False
F4JYC8	Arabidopsis thaliana	Viridiplantae	1706	False
Q9SQK3	Arabidopsis thaliana	Viridiplantae	315	False
Q9BQG0	Homo sapiens	Metazoa	1328	False
Q8IEK7	Plasmodium falciparum (isolate 3D7)	Other	87	False
Q8WZ33	Homo sapiens	Metazoa	124	False
Q7RWZ7	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	201	False
Q01329	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	785	False
F4JLC1	Arabidopsis thaliana	Viridiplantae	331	False
P82649	Bos taurus	Metazoa	359	False
Q03557	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	464	False
Q99679	Homo sapiens	Metazoa	349	False
Q9BTF0	Homo sapiens	Metazoa	503	False
P53212	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	290	False
Q9DCX7	Mus musculus	Metazoa	243	True
Q9BXU7	Homo sapiens	Metazoa	913	False
Q42510	Arabidopsis thaliana	Viridiplantae	1451	False
Q9NK54	Drosophila melanogaster	Metazoa	1711	False
A2AIL4	Mus musculus	Metazoa	333	False
P31228	Bos taurus	Metazoa	341	False
Q9XH32	Spinacia oleracea	Viridiplantae	222	False
P52591	Rattus norvegicus	Metazoa	1199	True
Q8VYZ5	Arabidopsis thaliana	Viridiplantae	900	False
P53309	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	568	False
H2L056	Caenorhabditis elegans	Metazoa	613	False
P10914	Homo sapiens	Metazoa	325	False
O43924	Homo sapiens	Metazoa	150	False
Q6PRD7	Homo sapiens	Metazoa	247	False
Q9FMZ0	Arabidopsis thaliana	Viridiplantae	337	False
Q4WF55	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	462	False
O18017	Caenorhabditis elegans	Metazoa	988	False
Q05175	Rattus norvegicus	Metazoa	220	False
O13855	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	455	False
Q6UPE1	Rattus norvegicus	Metazoa	616	False
O02219	Caenorhabditis elegans	Metazoa	453	False
Q8W234	Arabidopsis thaliana	Viridiplantae	877	False
A1ZAW0	Drosophila melanogaster	Metazoa	1722	False
Q9Y6A4	Homo sapiens	Metazoa	193	False
Q93062	Homo sapiens	Metazoa	196	False
Q01453	Homo sapiens	Metazoa	160	True
Q6ZWQ0	Mus musculus	Metazoa	6874	False
Q9Y7M6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	217	False
Q811D2	Mus musculus	Metazoa	1581	False
Q94K73	Arabidopsis thaliana	Viridiplantae	429	False
Q9BQ83	Homo sapiens	Metazoa	275	False
P36141	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133	False
G5ED47	Caenorhabditis elegans	Metazoa	413	False
Q61624	Mus musculus	Metazoa	794	False
O94621	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	365	False
P53307	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	113	False
Q9SI64	Arabidopsis thaliana	Viridiplantae	702	False
Q9UNN5	Homo sapiens	Metazoa	650	False
Q9STF2	Arabidopsis thaliana	Viridiplantae	510	False
D4A7U2	Rattus norvegicus	Metazoa	587	False
P40007	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	231	False
Q867Z4	Drosophila melanogaster	Metazoa	970	False
O54931	Mus musculus	Metazoa	1089	False
F4I9G2	Arabidopsis thaliana	Viridiplantae	426	False
Q7FAD5	Oryza sativa subsp. japonica	Viridiplantae	869	False
Q9JL04	Mus musculus	Metazoa	1578	False
Q95T19	Drosophila melanogaster	Metazoa	464	False
Q12040	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	230	False
Q8N4E7	Homo sapiens	Metazoa	242	False
P42356	Homo sapiens	Metazoa	2102	False
P0DH90	Arabidopsis thaliana	Viridiplantae	609	False
P97813	Mus musculus	Metazoa	933	False
Q9P7H8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1679	False
Q01831	Homo sapiens	Metazoa	940	False
E9AGH7	Leishmania infantum	Other	365	False
P32807	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	602	False
Q02959	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	697	False
Q8BK30	Mus musculus	Metazoa	104	False
Q9H211	Homo sapiens	Metazoa	546	False
Q13950	Homo sapiens	Metazoa	521	False
Q8NBF2	Homo sapiens	Metazoa	726	False
Q9UDR5	Homo sapiens	Metazoa	926	False
Q7S5N0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	364	False
Q84JU6	Arabidopsis thaliana	Viridiplantae	927	False
Q9FGQ9	Arabidopsis thaliana	Viridiplantae	177	False
O94358	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	845	False
Q3E7A4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	109	False
Q9D011	Mus musculus	Metazoa	178	False
Q6L8Q7	Homo sapiens	Metazoa	609	False
Q9LU05	Arabidopsis thaliana	Viridiplantae	168	False
P20084	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	86	False
Q9UT31	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	241	False
Q9USX4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	108	False
O75943	Homo sapiens	Metazoa	681	False
Q8NI27	Homo sapiens	Metazoa	1593	False
Q6NL34	Drosophila melanogaster	Metazoa	543	False
P49773	Homo sapiens	Metazoa	126	False
Q7FZF1	Arabidopsis thaliana	Viridiplantae	203	False
P36543	Homo sapiens	Metazoa	226	False
O08608	Mus musculus	Metazoa	189	False
