EntryID	OrganismName	Kingdom	SequenceLength	SPStart	SPEnd
A0JNW5	Homo sapiens	Metazoa	1464	None	None
A0JP26	Homo sapiens	Metazoa	581	None	None
A0PK11	Homo sapiens	Metazoa	232	None	None
A1A4S6	Homo sapiens	Metazoa	786	None	None
A1A519	Homo sapiens	Metazoa	330	None	None
A1L190	Homo sapiens	Metazoa	88	None	None
A1L3X0	Homo sapiens	Metazoa	281	None	None
A1X283	Homo sapiens	Metazoa	911	None	None
A2A2Y4	Homo sapiens	Metazoa	597	None	None
A2RU14	Homo sapiens	Metazoa	115	None	None
A2RUB6	Homo sapiens	Metazoa	948	None	None
A2RUC4	Homo sapiens	Metazoa	315	None	None
A4D1B5	Homo sapiens	Metazoa	854	None	None
A4GXA9	Homo sapiens	Metazoa	379	None	None
A5D8V7	Homo sapiens	Metazoa	595	None	None
A5PLL7	Homo sapiens	Metazoa	270	None	None
A6H8Y1	Homo sapiens	Metazoa	2624	None	None
A6NCS4	Homo sapiens	Metazoa	301	None	None
A6NFY7	Homo sapiens	Metazoa	115	None	None
A6NGG8	Homo sapiens	Metazoa	1288	None	None
A6NI61	Homo sapiens	Metazoa	221	None	None
A6NKB5	Homo sapiens	Metazoa	2137	None	None
A6NNB3	Homo sapiens	Metazoa	132	None	None
A7E2V4	Homo sapiens	Metazoa	1837	None	None
A7MCY6	Homo sapiens	Metazoa	615	None	None
A7MD48	Homo sapiens	Metazoa	611	None	None
A7XYQ1	Homo sapiens	Metazoa	873	None	None
A8MQ03	Homo sapiens	Metazoa	144	None	None
A8MW99	Homo sapiens	Metazoa	385	None	None
A9UHW6	Homo sapiens	Metazoa	222	None	None
B1AK53	Homo sapiens	Metazoa	854	None	None
B3KU38	Homo sapiens	Metazoa	563	None	None
B7U540	Homo sapiens	Metazoa	433	None	None
C9JLW8	Homo sapiens	Metazoa	97	None	None
C9JRZ8	Homo sapiens	Metazoa	316	None	None
D3W0D1	Homo sapiens	Metazoa	207	None	None
E0CX11	Homo sapiens	Metazoa	47	None	None
O00116	Homo sapiens	Metazoa	658	None	None
O00159	Homo sapiens	Metazoa	1063	None	None
O00161	Homo sapiens	Metazoa	211	None	None
O00165	Homo sapiens	Metazoa	279	None	None
O00214	Homo sapiens	Metazoa	317	None	None
O00237	Homo sapiens	Metazoa	685	None	None
O00268	Homo sapiens	Metazoa	1085	None	None
O00291	Homo sapiens	Metazoa	1037	None	None
O00322	Homo sapiens	Metazoa	258	None	None
O00329	Homo sapiens	Metazoa	1044	None	None
O00330	Homo sapiens	Metazoa	501	None	None
O00337	Homo sapiens	Metazoa	649	None	None
O00400	Homo sapiens	Metazoa	549	None	None
O00409	Homo sapiens	Metazoa	490	None	None
O00422	Homo sapiens	Metazoa	153	None	None
O00444	Homo sapiens	Metazoa	970	None	None
O00453	Homo sapiens	Metazoa	97	None	None
O00487	Homo sapiens	Metazoa	310	None	None
O00505	Homo sapiens	Metazoa	521	None	None
O00506	Homo sapiens	Metazoa	426	None	None
O00507	Homo sapiens	Metazoa	2555	None	None
O00560	Homo sapiens	Metazoa	298	None	None
O00624	Homo sapiens	Metazoa	439	None	None
O00635	Homo sapiens	Metazoa	465	None	None
O00712	Homo sapiens	Metazoa	420	None	None
O00746	Homo sapiens	Metazoa	187	None	None
O00762	Homo sapiens	Metazoa	179	None	None
O14497	Homo sapiens	Metazoa	2285	None	None
O14503	Homo sapiens	Metazoa	412	None	None
O14508	Homo sapiens	Metazoa	198	None	None
O14519	Homo sapiens	Metazoa	115	None	None
O14548	Homo sapiens	Metazoa	114	None	None
O14561	Homo sapiens	Metazoa	156	None	None
O14613	Homo sapiens	Metazoa	210	None	None
O14618	Homo sapiens	Metazoa	274	None	None
O14628	Homo sapiens	Metazoa	629	None	None
O14638	Homo sapiens	Metazoa	875	None	None
O14640	Homo sapiens	Metazoa	695	None	None
O14654	Homo sapiens	Metazoa	1257	None	None
O14744	Homo sapiens	Metazoa	637	None	None
O14757	Homo sapiens	Metazoa	476	None	None
O14788	Homo sapiens	Metazoa	317	None	None
O14813	Homo sapiens	Metazoa	284	None	None
O14843	Homo sapiens	Metazoa	346	None	None
O14907	Homo sapiens	Metazoa	124	None	None
O14908	Homo sapiens	Metazoa	333	None	None
O14910	Homo sapiens	Metazoa	233	None	None
O14925	Homo sapiens	Metazoa	209	None	None
